"filename", "language", "Python", "MS SQL", "Ini", "pip requirements", "Markdown", "comment", "blank", "total"
"d:\code acts\ProductValidator\README.md", "Markdown", 0, 0, 0, 0, 123, 0, 35, 158
"d:\code acts\ProductValidator\core\__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"d:\code acts\ProductValidator\core\dfa_engine.py", "Python", 61, 0, 0, 0, 0, 3, 10, 74
"d:\code acts\ProductValidator\core\generator.py", "Python", 51, 0, 0, 0, 0, 7, 11, 69
"d:\code acts\ProductValidator\db.py", "Python", 241, 0, 0, 0, 0, 30, 22, 293
"d:\code acts\ProductValidator\main.py", "Python", 501, 0, 0, 0, 0, 78, 41, 620
"d:\code acts\ProductValidator\pytest.ini", "Ini", 0, 0, 3, 0, 0, 0, 0, 3
"d:\code acts\ProductValidator\requirements.txt", "pip requirements", 0, 0, 0, 4, 0, 0, 0, 4
"d:\code acts\ProductValidator\schema.sql", "MS SQL", 0, 18, 0, 0, 0, 0, 2, 20
"d:\code acts\ProductValidator\tests\test_dfa.py", "Python", 72, 0, 0, 0, 0, 1, 19, 92
"Total", "-", 926, 18, 3, 4, 123, 120, 140, 1334
